what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x81080, /cygdrive/d/Bricolage3/software/chip1/chip1.elf] return code: 134",1541518753540
error,log,,,"Downloading ELF Process failed",1541518753556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541518753571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541518754788
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541518756364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541518758673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541518760139
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1541518760467
error,log,,,"No Byte Stream Services found for Nios II Console View",1541518762838
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541518875919
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541518877292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541518880115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541518881488
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1541518881816
error,log,,,"No Byte Stream Services found for Nios II Console View",1541518883673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541518902053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541518903363
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1541518903675
error,log,,,"No Byte Stream Services found for Nios II Console View",1541518905657
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1541518950732
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541519016024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541519018177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541519019581
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1541519019893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541519019908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541519023216
error,log,,,"No Byte Stream Services found for Nios II Console View",1541519025977
